year,make,body style,miles,price,color
2021,Porsche 718 Cayman,GTS 4.0 Coupe,"9,611 miles","$105,989 ","White exterior, Black interior"
2021,Porsche 718 Cayman,GTS 4.0 Coupe,"4,881 miles","$108,575 ","Black exterior, Black interior"
2021,Tesla Model Y,Performance AWD,"22,652 miles","$59,995 ","Black exterior, White interior"
2021,Tesla Model Y,Long Range AWD,"7,664 miles","$61,998 ","White exterior, White interior"
2021,Tesla Model Y,Long Range AWD,"27,375 miles","$59,998 ","Black exterior, Black interior"
2020,Tesla Model Y,Long Range Dual Motor AWD,"25,239 miles","$55,998 ","Blue exterior, Black interior"
2021,Tesla Model Y,Long Range AWD,"20,338 miles","$59,955 ","White exterior, Black interior"
2021,Tesla Model Y,Long Range AWD,"29,800 miles","$53,495 ","White exterior, Black interior"
2020,Tesla Model Y,Performance Dual Motor AWD,"9,314 miles","$59,998 ","Silver exterior, Black interior"
2021,Tesla Model Y,Long Range AWD,"23,881 miles","$51,995 ","Red exterior, Black interior"
2020,Tesla Model Y,Long Range Dual Motor AWD,"17,912 miles","$59,998 ","White exterior, Black interior"
2021,Tesla Model Y,Long Range AWD,"22,116 miles","$60,980 ","White exterior, Black interior"
2021,Tesla Model Y,Standard Range RWD,"17,843 miles","$54,998 ","Blue exterior, Black interior"
2020,Tesla Model Y,Performance Dual Motor AWD,"44,740 miles","$54,995 ","White exterior, Black interior"
2021,Tesla Model Y,Standard Range RWD,"23,912 miles","$52,687 ","Silver exterior, White interior"
2020,Tesla Model Y,Long Range Dual Motor AWD,"53,848 miles","$52,995 ","Blue exterior, Black interior"
2021,Tesla Model Y,Long Range AWD,"31,218 miles","$56,499 ","Red exterior, Black interior"
2021,Tesla Model Y,Long Range AWD,"13,520 miles","$57,998 ","White exterior, Black interior"
2021,Tesla Model Y,Long Range AWD,"16,958 miles","$58,999 ","Gray exterior, White interior"
2021,Tesla Model Y,Long Range AWD,"6,979 miles","$60,499 ","Red exterior, Black interior"
2021,Tesla Model Y,Performance AWD,"10,346 miles","$62,201 ","White exterior, Black interior"
2021,Tesla Model Y,Long Range AWD,"4,096 miles","$62,499 ","White exterior, Black interior"
2021,Tesla Model Y,Performance AWD,"20,598 miles","$62,998 ","Black exterior, Black interior"
2021,Tesla Model Y,Long Range AWD,"7,367 miles","$59,499 ","Unknown exterior, Black interior"
2021,Tesla Model Y,Performance AWD,"13,818 miles","$61,703 ","White exterior, Black interior"
2021,Tesla Model Y,Standard Range RWD,"31,452 miles","$50,999 ","Blue exterior, Black interior"
2021,Tesla Model Y,Long Range AWD,"4,273 miles","$61,999 ","Red exterior, Black interior"
2021,Tesla Model Y,Long Range AWD,"19,566 miles","$60,309 ","Blue exterior, Unknown interior"
2021,Tesla Model Y,Long Range AWD,"24,864 miles","$58,499 ","Red exterior, Black interior"
2021,Tesla Model Y,Long Range AWD,"16,712 miles","$62,092 ","White exterior, Unknown interior"
2021,Tesla Model Y,Performance AWD,"25,091 miles","$61,647 ","Gray exterior, White interior"
2021,Tesla Model Y,Long Range AWD,"17,940 miles","$61,998 ","Blue exterior, White interior"
2020,Tesla Model Y,Long Range Dual Motor AWD,"39,511 miles","$54,998 ","Blue exterior, Black interior"
2022,Tesla Model Y,Long Range AWD,537 miles,"$64,988 ","White exterior, Black interior"
2022,Tesla Model Y,Long Range AWD,"6,358 miles","$63,998 ","Gray exterior, White interior"
2022,Tesla Model Y,Performance AWD,"10,543 miles","$65,998 ","White exterior, Black interior"
2022,Tesla Model Y,Long Range AWD,"11,239 miles","$58,990 ","Black exterior, Black interior"
2022,Tesla Model Y,Long Range AWD,"8,718 miles","$61,769 ","White exterior, Black interior"
2022,Tesla Model Y,Performance AWD,"6,520 miles","$62,998 ","Blue exterior, Black interior"
2022,Tesla Model Y,Long Range AWD,"12,763 miles","$60,945 ","White exterior, Black interior"
2022,Tesla Model Y,Long Range AWD,34 miles,"$65,499 ","White exterior, Black interior"
2022,Tesla Model Y,Long Range AWD,"8,700 miles","$62,233 ","White exterior, Black interior"
2022,Tesla Model Y,Long Range AWD,"8,454 miles","$62,499 ","White exterior, White interior"
2022,Tesla Model Y,Long Range AWD,"6,200 miles","$64,647 ","Black exterior, Black interior"
2022,Tesla Model Y,Long Range AWD,601 miles,"$63,499 ","Blue exterior, Black interior"
2022,Tesla Model Y,Long Range AWD,90 miles,"$69,980 ","White exterior, White interior"
2022,Tesla Model Y,Performance AWD,"18,659 miles","$62,999 ","White exterior, Black interior"
2022,Tesla Model Y,Performance AWD,"8,453 miles","$62,514 ","Gray exterior, Black interior"
2022,Tesla Model Y,Long Range AWD,"2,253 miles","$63,999 ","Silver exterior, Black interior"
2022,Tesla Model Y,Long Range AWD,29 miles,"$66,499 ","Gray exterior, Black interior"
2022,Tesla Model Y,Long Range AWD,"11,763 miles","$61,999 ","Blue exterior, Black interior"
2022,Tesla Model Y,Long Range AWD,"4,899 miles","$64,499 ","White exterior, Black interior"
2022,Tesla Model Y,Long Range AWD,434 miles,"$65,499 ","Gray exterior, White interior"
2022,Tesla Model Y,Long Range AWD,"1,412 miles","$66,200 ","White exterior, White interior"
2022,Tesla Model Y,Long Range AWD,"2,973 miles","$64,999 ","Red exterior, White interior"
2022,Tesla Model Y,Long Range AWD,"3,049 miles","$65,499 ","White exterior, Black interior"
2022,Tesla Model Y,Performance AWD,"3,008 miles","$67,999 ","White exterior, Black interior"
2022,Tesla Model Y,Performance AWD,"3,672 miles","$66,499 ","Gray exterior, White interior"
2022,Tesla Model Y,Long Range AWD,"7,371 miles","$64,977 ","White exterior, Black interior"
2022,Tesla Model Y,Long Range AWD,252 miles,"$66,499 ","Silver exterior, Black interior"
2022,Tesla Model Y,Long Range AWD,"20,599 miles","$59,998 ","White exterior, Black interior"
2022,Tesla Model Y,Performance AWD,"4,276 miles","$67,499 ","Gray exterior, Black interior"
2022,Tesla Model Y,Long Range AWD,"7,383 miles","$63,499 ","Black exterior, Black interior"
2022,Tesla Model Y,Performance AWD,"4,414 miles","$68,499 ","Black exterior, Black interior"
2023,Tesla Model Y,Long Range AWD,790 miles,"$69,998 ","Gray exterior, Black interior"
2023,Tesla Model Y,Long Range AWD,510 miles,"$62,999 ","Gray exterior, Black interior"
